id;year;pstatabb;pname;genid;genstat;genntan
1;86535;Account Expanded;grey;Tennessee;Lakes Communications Extended;96573
2;21790;Paradigm;Fall;Engineer;Baby Gloves Account;55388
3;33762;Rufiyaa;Bacon HDD override;value-added invoice;architect;23508
4;56786;Jewelery Re-engineered Investor;quantifying New deposit;French reboot withdrawal;HDD circuit;55375
5;93916;Loan;deliverables integrate;Multi-layered seize;Car Fresh;83778
6;13527;Generic Paradigm;homogeneous;navigating Officer;Frozen;47944
7;54717;Checking Camp;Facilitator connecting deposit;concept Avon back-end;primary;22746
8;37560;Unbranded;neural synergistic;task-force override Buckinghamshire;GB;51107
9;40439;Land quantifying green;Central invoice;transmitting Right-sized Account;calculating mission-critical;30119
10;75461;Uzbekistan Buckinghamshire;invoice;Metal Investment;auxiliary;21598
