id,year,pstatabb,pname,genid,genstat,genntan
1,2019,AK,7-Mile Ridge Wind Project,WT1,CN,
2,2019,AK,Agrium Kenai Nitrogen Operations,744A,OS,
3,2019,AK,Agrium Kenai Nitrogen Operations,744B,OS,
4,2019,AK,Agrium Kenai Nitrogen Operations,744C,OS,
5,2019,AK,Agrium Kenai Nitrogen Operations,744D,OS,
6,2019,AK,Agrium Kenai Nitrogen Operations,744E,OS,
7,2019,AK,Agrium Kenai Nitrogen Operations,644A,RE,
8,2019,AK,Agrium Kenai Nitrogen Operations,644B,RE,
9,2019,AK,Agrium Kenai Nitrogen Operations,644C,RE,
10,2019,AK,Agrium Kenai Nitrogen Operations,644D,RE,
11,2019,AK,Agrium Kenai Nitrogen Operations,644E,RE,
12,2019,AK,Agrium Kenai Nitrogen Operations,644F,RE,
13,2019,AK,Agrium Kenai Nitrogen Operations,644G,RE,
14,2019,AK,Alakanuk,UNIT4,SB,-14
15,2019,AK,Alakanuk,G309,CN,
16,2019,AK,Alakanuk,UNIT1,RE,
17,2019,AK,Alakanuk,UNIT2,RE,
18,2019,AK,Alakanuk,UNIT3,RE,
19,2019,AK,Allison Creek Hydro,GEN1,OP,"19,135"
20,2019,AK,Ambler,1,OP,428
21,2019,AK,Ambler,2,OP,321
22,2019,AK,Ambler,3,OP,428
23,2019,AK,Anchorage 1,3R,OP,"9,491"
24,2019,AK,Anchorage 1,4,OP,"5,241"
25,2019,AK,Anchorage 1,P1 BS,OP,5
26,2019,AK,Anchorage 1,1,RE,
27,2019,AK,Anchorage 1,2,RE,
28,2019,AK,Anchorage 1,3,RE,
29,2019,AK,Anchorage 1,D1,RE,
30,2019,AK,Anchorage 1,D2,RE,
31,2019,AK,Angoon,1A,OP,537
32,2019,AK,Angoon,2A,OP,537
33,2019,AK,Angoon,3,OP,537
34,2019,AK,Angoon,1,RE,
35,2019,AK,Aniak,1,OP,
36,2019,AK,Aniak,10,OP,
37,2019,AK,Aniak,9,OP,
38,2019,AK,Aniak,3,RE,
39,2019,AK,Aniak,4,RE,
40,2019,AK,Aniak,5,RE,
41,2019,AK,Annex Creek,5,OP,"12,042"
42,2019,AK,Annex Creek,6,OP,"14,719"
43,2019,AK,Auke Bay,13,SB,-11
44,2019,AK,Auke Bay,14,SB,-119
45,2019,AK,Auke Bay,4,SB,-2
46,2019,AK,Aurora Energy LLC Chena,1,OP,"33,494"
47,2019,AK,Aurora Energy LLC Chena,2,OP,"11,980"
48,2019,AK,Aurora Energy LLC Chena,5,OP,"141,217"
49,2019,AK,Aurora Energy LLC Chena,3,RE,
50,2019,AK,Aurora Energy LLC Chena,7,IP,0
51,2019,AK,Barrow,10,OS,0
52,2019,AK,Barrow,11,OP,"13,198"
53,2019,AK,Barrow,12,OP,"13,748"
54,2019,AK,Barrow,6,OP,"6,874"
55,2019,AK,Barrow,7,OP,"6,874"
56,2019,AK,Barrow,8,OP,"6,874"
57,2019,AK,Barrow,9,OS,0
58,2019,AK,Battery Energy Storage System,BESS,OP,"-3,280"
59,2019,AK,Beaver Falls,1,OP,"6,507"
60,2019,AK,Beaver Falls,3,OP,"14,316"
61,2019,AK,Beaver Falls,4,OP,"14,316"
62,2019,AK,Beluga,1,OP,"2,818"
63,2019,AK,Beluga,2,OP,"2,818"
64,2019,AK,Beluga,3,OP,"10,411"
65,2019,AK,Beluga,5,OP,"12,031"
66,2019,AK,Beluga,6,OP,"13,476"
67,2019,AK,Beluga,7,OP,"13,476"
68,2019,AK,Beluga,8,RE,
69,2019,AK,Bernice Lake,2,OP,"1,622"
70,2019,AK,Bernice Lake,3,OP,"2,256"
71,2019,AK,Bernice Lake,4,OP,"2,131"
72,2019,AK,Bethel,1,OP,"7,084"
73,2019,AK,Bethel,2,OP,"7,084"
74,2019,AK,Bethel,3,OP,"7,084"
75,2019,AK,Bethel,4,OP,"7,084"
76,2019,AK,Bethel,6,OP,"7,084"
77,2019,AK,Bethel,7,OP,"7,084"
78,2019,AK,Black Bear Lake,1,OP,"19,976"
79,2019,AK,Blue Lake Hydro,3,OP,"19,819"
80,2019,AK,Blue Lake Hydro,4,OP,"19,819"
81,2019,AK,Blue Lake Hydro,5,OP,"19,819"
82,2019,AK,Blue Lake Hydro,1,RE,
83,2019,AK,Blue Lake Hydro,2,RE,
84,2019,AK,Bradley Lake,1,OP,"206,796"
85,2019,AK,Bradley Lake,2,OP,"206,796"
86,2019,AK,Brevig Mission,1,OP,238
87,2019,AK,Brevig Mission,2,OP,475
88,2019,AK,Brevig Mission,3A,OP,475
89,2019,AK,Brevig Mission,3,RE,
90,2019,AK,Centennial,IC6,OP,"2,464"
91,2019,AK,Centennial,IC7,RE,
92,2019,AK,Chester Lake,1,OP,"5,809"
93,2019,AK,Chevak,1A,OP,665
94,2019,AK,Chevak,2A,OP,665
95,2019,AK,Chevak,3A,OP,"1,064"
96,2019,AK,Chevak,1,RE,
97,2019,AK,Chevak,2,RE,
98,2019,AK,Chevak,3,RE,
99,2019,AK,Cooper Lake,1,OP,"23,051"
100,2019,AK,Cooper Lake,2,OP,"23,051"
101,2019,AK,Craig (AK),1,OP,60
102,2019,AK,Craig (AK),3B,OP,180
103,2019,AK,Craig (AK),5,OP,110
104,2019,AK,Craig (AK),6,OP,110
105,2019,AK,Craig (AK),3A,RE,
106,2019,AK,Delta Power,6,SB,-133
107,2019,AK,Delta Wind Farm,EWT1,OP,"1,881"
108,2019,AK,Delta Wind Farm,EWT2,OP,"1,881"
109,2019,AK,Delta Wind Farm,NW1,OP,209
110,2019,AK,Dillingham,10,OP,"1,866"
